rank,Company,Domain,City,State,TEU,Industry
65,Pentair Water Pool And Sp A,pentair.com,Moorpark,CA,500,Leisure Products
66,Jerry Leigh Inc.,jerryleigh.com,Vernon,CA,490,"Textiles, Apparel and Luxury Goods"
67,Kidsmania Inc.,kidsmania.com,Santa Fe Springs,CA,490,Specialty Retail
68,Noritz America,noritzglobal.com,Fountain Valley,CA,488,Household Durables
69,Jeffrey Court Inc.,jeffreycourt.com,Norco,CA,487,Household Durables
70,Aliquantum International Inc.,aqi-intl.com,Ontario,CA,487,Leisure Products
71,Universal Electronics Inc.,uei.com,Cypress,CA,485,Household Durables
72,Matisse Footwear,dev2.matissefootwear.com,El Segundo,CA,483,"Textiles, Apparel and Luxury Goods"
73,Bradshaw International Inc.,bradshawhome.com,Rancho Cucamonga,CA,483,Household Durables
74,Joneca Corp.,joneca.com,Anaheim,CA,478,Household Durables
75,Flora Bunda Inc.,florabundaus.com,City of Industry,CA,459,Specialty Retail
76,Lifecore Fitness Inc.,fitlab.com,Vista,CA,458,Leisure Products
77,Olukai,olukai.com,Irvine,CA,449,"Textiles, Apparel and Luxury Goods"
78,Path To Prosperity Inc.,cpturf.com,San Dimas,CA,447,Leisure Products
79,One Diamond Electronics Inc.,diamond-electronics.com,Los Angeles,CA,431,Household Durables
80,Volcom Inc.,authentic.com,El Segundo,CA,428,"Textiles, Apparel and Luxury Goods"
81,Pioneer Electronics (Usa) Inc.,global.pioneer,Long Beach,CA,423,Household Durables
82,Tai Apparel Inc.,taiapparel.com,Agoura Hills,CA,422,"Textiles, Apparel and Luxury Goods"
83,International Textile & Apparel Inc.,tracietung.com,Los Angeles,CA,414,"Textiles, Apparel and Luxury Goods"
84,Jobar International Inc.,jobar.com,Carson,CA,413,Specialty Retail
85,Pets Global Inc.,pets-global.com,Santa Clarita,CA,392,Specialty Retail
86,Home Legend,homelegend.com,Fontana,CA,385,Household Durables
87,Cavalini Inc.,cavalini.com,Los Angeles,CA,376,"Textiles, Apparel and Luxury Goods"
88,Daiwa Corporation,globeride.co.jp,Cypress,CA,371,Leisure Products
89,Pacific Sunwear Of California,pacsun.com,Anaheim,CA,361,"Textiles, Apparel and Luxury Goods"
90,Sagebrook Home,sagebrookhome.com,Commerce,CA,352,Specialty Retail
91,Janie And Jack,janieandjack.com,San Francisco,CA,338,"Textiles, Apparel and Luxury Goods"
92,Swat Fame Inc.,swatfame.com,City of Industry,CA,334,"Textiles, Apparel and Luxury Goods"
93,Tropitone Furniture Co. Inc.,brownjordaninc.com,Irvine,CA,333,Household Durables
94,Parachute Home Inc.,parachutehome.com,Culver City,CA,331,Household Durables
95,Jada Toys Inc.,simbatoys.de,City of Industry,CA,330,Leisure Products
96,The Bonkers Toy Co.,bonkerstoys.com,La Jolla,CA,329,Specialty Retail
97,Abc Home Furnishings Inc.,abchome.com,San Francisco,CA,324,Specialty Retail
98,Blue Ridge Home Fashions Inc.,blueridgehome.com,Baldwin Park,CA,323,Household Durables
99,Allied Home Llc,alliedhomebedding.com,Montebello,CA,320,"Textiles, Apparel and Luxury Goods"
100,Meyer Sound Laboratories Inc.,meyersound.com,Berkeley,CA,311,Household Durables
101,Rhythm Healthcare,rhythmhc.com,Corona,CA,307,Specialty Retail
102,At Home Good Inc.,athome.com,Corona,CA,306,Specialty Retail
103,Business & Pleasure Co. Llc,businessandpleasureco.com,Compton,CA,304,Household Durables
104,Aramark Uniform & Career Apparel,vestis.com,Burbank,CA,302,"Textiles, Apparel and Luxury Goods"
105,Jakks Pacific Inc.,jakks.com,Malibu,CA,295,Leisure Products
106,"Tyr Sport, Inc.",swimwearanywhere.com,Huntington Beach,CA,291,"Textiles, Apparel and Luxury Goods"
107,Le Chandelle Inc.,lechandellecandles.com,Diamond Bar,CA,290,Household Durables
108,East West Imp. Exp. Inc.,eastwestinc.net,Vernon,CA,284,Specialty Retail
109,"Hybrid Promotions, Llc",hybridapparel.com,Huntington Beach,CA,275,"Textiles, Apparel and Luxury Goods"
110,Enriquez Materials & Quilting Inc.,enriquezquilting.com,Commerce,CA,274,Household Durables
111,Shimano North America Holding Inc.,shimano.com,Irvine,CA,273,Leisure Products
112,Revival Rugs Inc.,revivalrugs.com,Oakland,CA,265,Household Durables
113,Punch Studio,punchstudio.com,Culver City,CA,265,Household Durables
114,Stansport,stansport.com,Los Angeles,CA,262,Leisure Products
115,Trend Smart America Ltd.,cec.com.cn,San Diego,CA,261,Specialty Retail
116,Phase Ii Products Inc.,phaseii.com,San Diego,CA,259,Household Durables
117,Ariat International Inc,ariat.com,Union City,CA,259,"Textiles, Apparel and Luxury Goods"
118,Eurostar Inc.,investors.footlocker-inc.com,Los Angeles,CA,253,Specialty Retail
119,Material Supply Inc.,store.acpro.com,Fontana,CA,248,Specialty Retail
120,Caltric,caltric.com,Los Angeles,CA,244,Specialty Retail
121,Fortune Swimwear Llc,coaststylegroupbrands.com,Culver City,CA,242,"Textiles, Apparel and Luxury Goods"
122,Colours,gocolours.com,Carson,CA,235,Specialty Retail
123,"Amrapur Overseas, Inc.",amrapur.com,Garden Grove,CA,235,"Textiles, Apparel and Luxury Goods"
124,My Favorite Co. Inc.,myfavoriteco.com,Los Angeles,CA,233,Leisure Products
125,Bear Down Brands Llc,pureenrichment.com,Huntington Beach,CA,227,Household Durables
126,Playmates Toys Inc.,playmates.net,El Segundo,CA,220,Leisure Products
127,Z Supply Llc,zsupplyllc.com,Irvine,CA,216,"Textiles, Apparel and Luxury Goods"
128,Zenoff Products Inc.,mybrestfriend.com,Foster City,CA,213,Specialty Retail
129,Sierra Living Concepts Inc.,sierralivingconcepts.com,Fremont,CA,212,Specialty Retail
130,T3 Micro Inc.,t3micro.com,Venice,CA,209,Household Durables
131,Bia Cordon Bleu Inc.,biacordonblu.com,Galt,CA,207,Household Durables
132,Boo Young Co. Inc.,byoungco.com,Carson,CA,206,Specialty Retail
133,Honeylove Sculptwear Inc.,honeylove.ly,San Francisco,CA,203,Specialty Retail
134,Restoration Hardware,rh.com,Corte Madera,CA,202,Household Durables
135,Andamiro Usa,andamirousa.com,Gardena,CA,201,Leisure Products
136,Zigi Usa Llc,ziginy.com,Torrance,CA,199,Specialty Retail
137,Tabletops Unlimited Inc.,tabletopsunltd.com,Carson,CA,197,Household Durables
138,Vesture Corp,microcoretechnology.com,Burbank,CA,196,Household Durables
139,Aver Information Inc.,aver.com,Fremont,CA,195,Household Durables
