rank,Consignee Name,City,State,Ultimate Parent,Domain,Apollo-ready,Shipments,TEU,VALUE(usd)
17,Bernhardt Furniture Co.,Lenoir,North Carolina,"Bernhardt Furniture Company, Inc.",bernhardt.com,Y,790,2539.3,26974668.46
18,Bosch Thermotechnology Corp.,North Aurora,Illinois,Robert Bosch Gmb H,bosch.com,Y,279,2512.9,89883354.02
19,Nostalgia Products Group Llc,De Pere,Wisconsin,Nostalgia Products Group Llc,nostalgiaelectrics.com,Y,848,2502.7,53034059.64
20,Miele Inc.,Princeton,New Jersey,Miele & Cie. Kg,miele.com,Y,434,2443.1,121994152.4
21,Fiskars Brands Inc. Gol Whse,,,Fiskars Oyj Abp,fiskarsgroup.com,Y,684,2062.9,65511643.89
22,Nourison Industries,Saddle Brook,New Jersey,"Nourison Industries, Inc.",nourison.com,Y,911,2006.5,67418282.45
23,La Z Boy Casegoods,Hudson,North Carolina,La Z Boy Incorporated,la-z-boy.com,Y,417,1896.0,19494566.43
24,University Furnishings,Dallas,Texas,"University Furnishings, Inc.",universityfurnishings.com,Y,370,1798.5,16908582.8
25,Princess House Inc.,Taunton,Massachusetts,"Princess House, Inc.",princesshouse.com,Y,354,1784.6,27030077.34
26,Sceptre,City of Industry,California,"Sceptre, Inc.",sceptre.com,Y,294,1784.0,151600024.81
27,Jackson Furniture Industries,Cleveland,Tennessee,"Jackson Furniture Industries, Inc.",jacksonfurniture.com,Y,574,1751.6,55577801.19
28,Orbit Irrigation Products Inc.,North Salt Lake,Utah,Husqvarna Ab (Publ),husqvarnagroup.com,Y,920,1674.5,74568068.75
29,Sonos Inc.,,California,"Sonos, Inc.",sonos.com,Y,828,1625.4,1059599840.27
30,"Stylecraft Home Collection, Inc.",Southaven,Mississippi,"Stylecraft Home Collection, Inc.",stylecraftonline.com,Y,531,1594.4,19414493.54
31,Breville Usa,,,Breville Group Limited,brevillegroup.com,Y,319,1589.2,99574324.69
32,Modern Marketing Concepts Inc.,Louisville,Kentucky,"Modern Marketing Concepts, Inc.",modernmktg.com,Y,412,1588.1,41782611.88
33,Imusa Usa Llc,Doral,Florida,Seb Sa,groupeseb.com,Y,797,1582.8,30524239.79
34,The Cookware Co. (Usa) Llc,Irvington,New York,"The Cookware Company (Usa), Llc",cookware-co.com,Y,254,1526.2,26007348.18
35,Marquis Industries Inc.,Chatsworth,Georgia,Live Ventures Incorporated,liveventures.com,Y,601,1522.3,143744718.15
36,Friedrich Air Conditioning Co.,San Antonio,Texas,"Paloma Co., Ltd.",paloma.co.jp,Y,305,1501.3,51947487.68
37,Broan Nutone Llc,Hartford,Wisconsin,Madison Industries Holdings Llc,,N,613,1489.0,52190518.15
38,Danby Products Inc.,Findlay,Ohio,Danby Products Limited,danby.com,Y,474,1471.9,26152470.54
39,Casper Sleep Inc.,New York,New York,Carpenter Co.,carpenter.com,Y,420,1470.2,12269084.61
40,Revman International,Spartanburg,South Carolina,Makei Ii Llc,,N,974,1461.9,42814787.78
41,Sony Interactive Entertainment,Foster City,California,Sony Group Corporation,sony.com,Y,246,1392.2,347456109.67
42,"E&E Co., Ltd.",Fremont,California,"E&E Co., Ltd.",ee1994.com,Y,1474,1376.8,34530482.24
43,Spectrum Brands Inc. Attn Teran,Middleton,Wisconsin,"Spectrum Brands Holdings, Inc.",spectrumbrands.com,Y,199,1368.0,31125536.79
44,Hunter Fan Co.,Holiday City,Ohio,Griffon Corporation,griffon.com,Y,364,1349.4,38803213.47
45,Riverside Furniture Corp.,Fort Smith,Arkansas,Riverside Furniture Corporation,riverside-furniture.com,Y,713,1343.5,15545882.5
46,Sinomax East,La Vergne,Tennessee,Sinomax (Holding) Group Limited,,N,437,1321.9,20045757.87
47,Ergomotion Inc.,Santa Barbara,California,Keeson Technology Corporation Limited,keeson.com,Y,324,1274.0,20485446.51
48,Bissell Homecare Inc.,Grand Rapids,Michigan,"Bissell Homecare, Inc.",bissell.com,Y,337,1246.5,50339093.34
49,Foremost Groups,,,Foremost Groups Ltd,,N,396,1246.2,281162610.25
50,Apache Mills Inc.,,,"Apache Mills, Inc.",apachemills.com,Y,535,1243.5,30304866.3
51,Zinus Inc.,Tracy,California,"Zinus, Inc",zinus.co.kr,Y,928,1232.9,21495197.98
52,Bexco Enterprises Inc.,,,"Bexco Enterprises, Inc.",milliondollarbaby.com,Y,255,1213.0,16047453.5
53,"S. Lichtenberg & Co., Inc.",New York,New York,"S. Lichtenberg & Co., Inc.",,N,502,1192.0,32211820.83
54,Wolf Steel Ltd.,,,"Wolf Steel, Ltd.",napoleon.com,Y,211,1178.6,20454765.48
55,Kuka Furniture Inc.,High Point,North Carolina,Kuka Furniture Inc.,,N,805,1171.5,19841235.99
56,Creative Co Op Inc.,Memphis,Tennessee,"Regent Holding Company, Llc",regent-holding.com,Y,752,1163.5,18471754.11
57,Whitewood Industries,Thomasville,North Carolina,"Whitewood Industries, Inc.",whitewoodfurniture.com,Y,582,1134.2,20346686.74
58,Interdesign Inc.,Solon,Ohio,"Inter Design, Inc.",idesignlivesimply.com,Y,356,1131.9,17076302.81
59,Karat Home Inc.,,,Hangzhou J And S Yard Home Fashion Co Ltd,,N,552,1109.1,8610932.38
60,Meyer Corporation Us.,Vallejo,California,"Meyer International Holdings, Ltd.",,N,172,1102.2,34038759.26
61,Le Creuset Of America,Early Branch,South Carolina,Cliden B.V.,,N,233,1087.5,28064077.32
62,New View Gifts & Accessories Ltd.,Media,Pennsylvania,"New View Gifts & Accessories, Ltd.",newviewgifts.com,Y,645,1081.3,18458767.35
63,Lovesac,,,The Lovesac Company,lovesac.com,Y,321,1073.2,27887928.95
64,Italkraft Llc,Miami,Florida,Italkraft Llc,italkraft.com,Y,484,1070.5,47015236.64
65,Ardmore Home Design Llc,Hacienda Heights,California,"Ardmore Home Design, Inc.",madegoods.com,Y,744,1017.9,11885395.44
66,Husqvarna Forestry Products,Shreveport,Louisiana,"Husqvarna Forestry Products N.A., Inc.",,N,821,1002.4,81344764.87
67,Zonkd Inc.,,,"Zonkd, Llc",,N,490,1000.5,13923628.63
68,Golden Goose Logistics Llc,,,Golden Goose Llc,kickstarter.com,Y,397,994.0,20801001.22
69,Topway Global Inc.,Brea,California,"Watts Water Technologies, Inc.",watts.com,Y,456,992.5,26527543.77
70,The Dixie Group Inc.,Dalton,Georgia,"The Dixie Group, Inc.",thedixiegroup.com,Y,423,976.6,100102791.11
