rank,Consignee Name,City,State,Ultimate Parent,Domain,Apollo-ready,Shipments,TEU,VALUE(usd)
125,The Shekia Group Llc,Edison,New Jersey,The Shekia Group Llc,forevermarkcabinetry.com,Y,86,602.0,13928690.86
126,Foliot Furniture Pacific,Las Vegas,Nevada,Foliot Furniture Inc.,foliot.com,Y,264,596.9,7041611.83
127,Hillpointe Construction,Athens,Georgia,"Hillpointe Construction, Llc",hillpointe.com,Y,196,594.0,31148892.3
128,Lennox Industries Inc.,Marshalltown,Iowa,Lennox International Inc.,lennox.com,Y,448,587.4,45377500.31
129,Walker Edison Furniture Co.,,,"Walker Edison Furniture Company, Llc",walkeredison.com,Y,330,583.1,13872174.45
130,Aico Amini Innovation Corp.,Pico Rivera,California,Amini Innovation Corporation,amini.com,Y,172,582.0,5202620.08
131,Askey International Corp.,Milpitas,California,Askey International Corporation,,N,167,578.7,257286418.11
132,Universal Granite & Marble,Naperville,Illinois,"Universal Granite & Marble, Inc.",universalgranite.com,Y,571,575.1,12032574.5
133,Over And Back Inc.,Hauppauge,New York,"Over & Back, Llc",overback.com,Y,188,575.0,11763557.13
134,Intralin Corp.,,Maryland,Intralin Corp.,intralin.com,Y,288,566.1,23009819.14
135,Highland Cabinetry Inc.,Phoenix,Arizona,Highland Cabinetry Inc,highlandcabinetry.com,Y,61,560.0,13430582.7
136,Sound United,Vista,California,Masimo Corporation,masimo.com,Y,203,558.4,50921232.33
137,Flemish Master Weavers,Sanford,Maine,Natco Products Corporation,natcohome.com,Y,329,552.2,17261986.37
138,Peag Llc,Carlsbad,California,"Peag, Llc",jlab.com,Y,280,546.0,60328921.49
139,The Uttermost Co.,Rocky Mount,Virginia,The Uttermost Co.,uttermost.com,Y,280,539.8,10159503.51
140,Jaipur Living Inc.,Acworth,Georgia,Jaipur Living Inc.,jaipurliving.com,Y,483,533.4,19996292.08
141,Phifer Inc.,Tuscaloosa,Alabama,Phifer Incorporated,phifer.com,Y,168,526.5,12371350.07
142,Diono Llc,Puyallup,Washington,"Diono, Llc",us.diono.com,Y,197,523.0,10279469.78
143,Boston Warehouse Trading Corp.,Seekonk,Massachusetts,Boston Warehouse Trading Corporation,bwtc.com,Y,172,510.5,7042837.0
144,Atlantic Promotions Inc.,,,Promotions Atlantiques Inc.,starfrit.com,Y,272,510.0,9881793.21
145,Stokke Llc,Kennesaw,Georgia,Stokke As,stokke.com,Y,251,506.1,14958323.65
146,Mgr Design International,Oxnard,California,Mgr Design International Inc.,mgrdesign.com,Y,174,504.4,8510205.05
147,Zagg,Salt Lake City,Utah,"Evercel, Inc.",evercel.com,Y,1004,496.3,13750197.28
148,Empire Candle Co Llc,,,Langley Empire Candle Llc,langleyempirecandle.com,Y,114,494.3,8400165.01
149,C&T International,East Rutherford,New Jersey,"C & T International, Inc.",sorellefurniture.com,Y,109,492.2,10195672.5
150,Mytek International Inc.,Bonita,California,"Mytek International, Inc.",,N,281,489.0,106659503.26
